,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region,year
57405,guacor1,Guanay Cormorant,Leucocarbo bougainvillii,L13000333,Punta Lengua de Vaca--Pelágico,2022-12-04,250.0,-30.235682,-71.6331328,False,-1,Coquimbo,2022
57408,yewbla2,Yellow-winged Blackbird,Agelasticus thilius,L9860617,Llanquihue--Humedal Baquedano,2022-06-07,15.0,-41.2502783,-73.0088922,False,-1,Los Lagos,2022
57411,bthhue1,Black-throated Huet-huet,Pteroptochos tarnii,L8284561,Universidad Austral de Chile--Arboretum,2022-06-12,2.0,-39.7997296,-73.2593372,False,-1,Los Ríos,2022
57419,yebtea1,Yellow-billed Teal,Anas flavirostris,L18083286,Calle 1 Chamiza Los Lagos CL (-41.49 -72.861),2022-03-11,0.0,-41.4902642,-72.8610163,True,-1,Los Lagos,2022
57420,cancan1,Canyon Canastero,Asthenes pudibunda,L570508,Putre,2022-11-04,2.0,-18.1964537,-69.5565677,False,-1,Arica y Parinacota,2022
57421,punplo1,Puna Plover,Charadrius alticola,L9502372,RN Los Flamencos--Laguna Chaxa (Parque Laguna),2022-09-21,4.0,-23.2878293,-68.1775689,False,-1,Antofagasta,2022
57422,magtap1,Magellanic Tapaculo,Scytalopus magellanicus,L6517732,Huitag Lago Calafquén,2022-11-01,1.0,-39.5169318,-72.2751638,True,-1,Los Ríos,2022
57427,gryfin1,Grassland Yellow-Finch,Sicalis luteola,L8279029,Parque Tantauco--Río Inio--Desembocadura,2022-01-16,6.0,-43.3639214,-74.1268165,False,-1,Los Lagos,2022
57430,rudtur,Ruddy Turnstone,Arenaria interpres,L10023907,HOTEL APACHETA,2022-04-23,33.0,-18.4920432,-70.3280997,True,-1,Arica y Parinacota,2022
57440,pmtspi1,Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,L9885381,Población Juan Antonio Ríos 2,2022-07-23,1.0,-33.4167015,-70.6728107,True,-1,Región Metropolitana de Santiago,2022
57445,eleter1,Elegant Tern,Thalasseus elegans,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2022-12-21,5.0,-36.7294982,-73.0922676,False,-1,Bío-Bío,2022
